,subjects,linkedGenes
10,"('ZJTKAE3_Control', 'ZLTUJTN_Prediabetic')","['ALT+clinical', 'IL9+cytokine', 'RESISTIN+cytokine', 'genus_unclassified_Porphyromonadaceae+gut', 'family_Propionibacteriaceae+nares', 'genus_Dolosigranulum+nares', 'genus_Propionibacterium+nares', 'ADAD2+RNAseq', 'ANAPC13+RNAseq', 'APOL6+RNAseq', 'ATF6+RNAseq', 'BAIAP2-AS1+RNAseq', 'BCR+RNAseq', 'BROX+RNAseq', 'C2orf81+RNAseq', 'C4orf29+RNAseq', 'CACNG4+RNAseq', 'CD63+RNAseq', 'CENPP+RNAseq', 'CEP63+RNAseq', 'CHSY1+RNAseq', 'CUL7+RNAseq', 'CYTH3+RNAseq', 'DLEU2+RNAseq', 'EHMT2+RNAseq', 'EIF3B+RNAseq', 'EXOC5+RNAseq', 'EXOSC5+RNAseq', 'FAM201A+RNAseq', 'GPD2+RNAseq', 'GUK1+RNAseq', 'HBS1L+RNAseq', 'INO80C+RNAseq', 'KANK3+RNAseq', 'LEMD3+RNAseq', 'LOC285847+RNAseq', 'MEST+RNAseq', 'MGST2+RNAseq', 'MPHOSPH10+RNAseq', 'MYCBP2+RNAseq', 'NEFH+RNAseq', 'OAS2+RNAseq', 'OGFOD2+RNAseq', 'OTUD4+RNAseq', 'PCSK6+RNAseq', 'PCSK7+RNAseq', 'PDE6A+RNAseq', 'PLEKHG4+RNAseq', 'POLR2L+RNAseq', 'PPAT+RNAseq', 'PRICKLE3+RNAseq', 'PRPF40A+RNAseq', 'PSME3+RNAseq', 'RASSF3+RNAseq', 'RFFL+RNAseq', 'RMRP+RNAseq', 'RPA3OS+RNAseq', 'RPL13+RNAseq', 'SCRT2+RNAseq', 'SETD2+RNAseq', 'SLAMF8+RNAseq', 'SLC23A2+RNAseq', 'SLC26A2+RNAseq', 'SLIT1+RNAseq', 'SND1+RNAseq', 'SON+RNAseq', 'SRF+RNAseq', 'STAT4+RNAseq', 'STK11IP+RNAseq', 'SUB1+RNAseq', 'SYNE1+RNAseq', 'SYTL1+RNAseq', 'TESPA1+RNAseq', 'TMEM248+RNAseq', 'TMEM55B+RNAseq', 'TMPRSS11A+RNAseq', 'TRPS1+RNAseq', 'UBR7+RNAseq', 'UBTF+RNAseq', 'WAS+RNAseq', 'ZNF33A+RNAseq']"
11,"('ZJTKAE3_Control', 'ZLYEM2C_Prediabetic')","['AGA+RNAseq', 'ASF1B+RNAseq', 'ATG9B+RNAseq', 'C10orf25+RNAseq', 'C12orf73+RNAseq', 'CCNI2+RNAseq', 'CD44+RNAseq', 'CDK17+RNAseq', 'CELF4+RNAseq', 'CLYBL-AS2+RNAseq', 'CSNK1A1+RNAseq', 'EXOSC8+RNAseq', 'FBXO30+RNAseq', 'FBXW4+RNAseq', 'FLVCR2+RNAseq', 'GALNT9+RNAseq', 'GLIPR1L1+RNAseq', 'HIC1+RNAseq', 'HNRNPA2B1+RNAseq', 'HNRNPDL+RNAseq', 'KAT6A+RNAseq', 'KIF11+RNAseq', 'LIMD1-AS1+RNAseq', 'LOC100130476+RNAseq', 'MIER1+RNAseq', 'MIR194-1+RNAseq', 'MTBP+RNAseq', 'NEK4+RNAseq', 'NOP16+RNAseq', 'PER3+RNAseq', 'PIM3+RNAseq', 'RASSF1+RNAseq', 'RBPJ+RNAseq', 'SERHL2+RNAseq', 'SIRT2+RNAseq', 'SLFNL1+RNAseq', 'SOCS2-AS1+RNAseq', 'SP110+RNAseq', 'USP49+RNAseq', 'ZCCHC6+RNAseq', 'ZFAT-AS1+RNAseq', 'ZNF652+RNAseq']"
12,"('ZJTKAE3_Control', 'ZLZNCLZ_Prediabetic')","['IL2+cytokine', 'IFNG+cytokine', 'AKR1C6P+RNAseq', 'BIK+RNAseq', 'HAVCR1P1+RNAseq', 'KPNA6+RNAseq', 'LOC100128568+RNAseq', 'PPM1A+RNAseq', 'SERPINB9P1+RNAseq', 'TRIM47+RNAseq']"
13,"('ZJTKAE3_Control', 'ZLZQMEV_Crossover')","['TNFB+cytokine', 'FGFB+cytokine', 'ANGPTL6+RNAseq', 'ARNTL+RNAseq', 'C15orf52+RNAseq', 'CHST15+RNAseq', 'DDRGK1+RNAseq', 'IFI16+RNAseq', 'IL10RA+RNAseq', 'ITGAM+RNAseq', 'KIAA1161+RNAseq', 'KLHL11+RNAseq', 'LRRTM2+RNAseq', 'MTRNR2L9+RNAseq', 'NFE2L3+RNAseq', 'NR4A2+RNAseq', 'RBM28+RNAseq', 'SCRT2+RNAseq', 'TTTY15+RNAseq']"
14,"('ZJTKAE3_Control', 'ZM7JY3G_Crossover')","['IL4+cytokine', 'AKAP11+RNAseq', 'CBFA2T3+RNAseq', 'CDK12+RNAseq', 'DVL3+RNAseq', 'EBF1+RNAseq', 'HSPA4+RNAseq', 'KIAA0513+RNAseq', 'LRP1+RNAseq', 'MAN2B1+RNAseq', 'PARP6+RNAseq', 'SKIV2L+RNAseq', 'SNHG7+RNAseq', 'STRN+RNAseq', 'SUPT3H+RNAseq', 'TATDN2+RNAseq', 'TKT+RNAseq', 'TNFRSF14+RNAseq', 'TP53+RNAseq', 'TYK2+RNAseq', 'ZCCHC7+RNAseq', 'ZZEF1+RNAseq']"
15,"('ZJTKAE3_Control', 'ZM8YXDM_Prediabetic')","['LYMAB+clinical', 'C11orf58+RNAseq', 'C19orf12+RNAseq', 'CDKN1B+RNAseq', 'CHCHD2+RNAseq', 'DANCR+RNAseq', 'EMILIN1+RNAseq', 'GYLTL1B+RNAseq', 'HMBOX1+RNAseq', 'HMOX2+RNAseq', 'KLHL32+RNAseq', 'LOC100130298+RNAseq', 'LOC100506606+RNAseq', 'MIR3124+RNAseq', 'MZT2B+RNAseq', 'NDUFA2+RNAseq', 'NOA1+RNAseq', 'PCDHGC5+RNAseq', 'PPP1R8+RNAseq', 'RPS19BP1+RNAseq', 'SCN3A+RNAseq', 'SIMC1+RNAseq', 'WNT16+RNAseq']"
16,"('ZJTKAE3_Control', 'ZMBH10Z_Crossover')","['CHOL+clinical', 'ANKRD34A+RNAseq', 'ANKRD55+RNAseq', 'ATP2A2+RNAseq', 'C11orf42+RNAseq', 'C15orf52+RNAseq', 'C1orf146+RNAseq', 'CCNC+RNAseq', 'CD80+RNAseq', 'CSNK1A1P1+RNAseq', 'DNAJB5+RNAseq', 'ETV4+RNAseq', 'FBXL22+RNAseq', 'FBXW8+RNAseq', 'FDPS+RNAseq', 'FKBP1A+RNAseq', 'FRMD8+RNAseq', 'FUT11+RNAseq', 'GABARAPL2+RNAseq', 'GBP3+RNAseq', 'GOLGA8H+RNAseq', 'HSH2D+RNAseq', 'HSPD1+RNAseq', 'LCA5L+RNAseq', 'LOC101593348+RNAseq', 'LOC101928053+RNAseq', 'LTBP2+RNAseq', 'MEGF11+RNAseq', 'MUC4+RNAseq', 'NOD1+RNAseq', 'NQO1+RNAseq', 'NUDT16P1+RNAseq', 'PALLD+RNAseq', 'PRPF39+RNAseq', 'PRPS1+RNAseq', 'PTRH2+RNAseq', 'RFTN2+RNAseq', 'RUNDC3B+RNAseq', 'SLC35G2+RNAseq', 'SP7+RNAseq', 'STAB2+RNAseq', 'STX19+RNAseq', 'THOC1+RNAseq', 'THUMPD3+RNAseq', 'TMED5+RNAseq', 'VSNL1+RNAseq', 'ZDHHC5+RNAseq']"
17,"('ZJTKAE3_Control', 'ZMBVNFM_Prediabetic')","['INSF+clinical', 'family_Rikenellaceae+gut', 'genus_Alistipes+gut', 'ACOT2+RNAseq', 'ADAMTS17+RNAseq', 'AMZ1+RNAseq', 'ARID3B+RNAseq', 'ARL6IP4+RNAseq', 'ATP6V1D+RNAseq', 'BAIAP2+RNAseq', 'BNC2+RNAseq', 'BZRAP1+RNAseq', 'C16orf89+RNAseq', 'CARD9+RNAseq', 'CARNS1+RNAseq', 'CD151+RNAseq', 'CDK16+RNAseq', 'CENPB+RNAseq', 'CHAD+RNAseq', 'CLCF1+RNAseq', 'CNKSR2+RNAseq', 'COMP+RNAseq', 'CPSF1+RNAseq', 'CRTAC1+RNAseq', 'CSTF2T+RNAseq', 'CTSB+RNAseq', 'CXCR2P1+RNAseq', 'DAG1+RNAseq', 'DAPK3+RNAseq', 'DCAF15+RNAseq', 'DENND1A+RNAseq', 'FAM186B+RNAseq', 'FAM83G+RNAseq', 'FANCI+RNAseq', 'GABPA+RNAseq', 'GALNT9+RNAseq', 'GPATCH4+RNAseq', 'GSN+RNAseq', 'HELZ2+RNAseq', 'KBTBD2+RNAseq', 'KIAA1524+RNAseq', 'KIRREL3+RNAseq', 'KREMEN2+RNAseq', 'LENG9+RNAseq', 'LKAAEAR1+RNAseq', 'LOC100129046+RNAseq', 'LOC101929760+RNAseq', 'LOC400043+RNAseq', 'MAFF+RNAseq', 'MEX3C+RNAseq', 'NR1H3+RNAseq', 'OGFRP1+RNAseq', 'OSGEPL1-AS1+RNAseq', 'PARP9+RNAseq', 'PDCD1+RNAseq', 'PEX5L+RNAseq', 'PLIN4+RNAseq', 'POLR2J4+RNAseq', 'POLR3E+RNAseq', 'POLRMT+RNAseq', 'PPP1R16A+RNAseq', 'PPP1R3B+RNAseq', 'PRDM11+RNAseq', 'PROCA1+RNAseq', 'PTGS1+RNAseq', 'PTPN21+RNAseq', 'RASGEF1A+RNAseq', 'RGCC+RNAseq', 'SFXN3+RNAseq', 'SKA2+RNAseq', 'SLC3A1+RNAseq', 'SLC7A4+RNAseq', 'SNX14+RNAseq', 'SRP72+RNAseq', 'TICRR+RNAseq', 'TNS3+RNAseq', 'TRAK1+RNAseq', 'VPS13A+RNAseq', 'VPS29+RNAseq', 'YME1L1+RNAseq', 'ZFPM1+RNAseq', 'ZNF324+RNAseq', 'ZNF335+RNAseq', 'ZNF486+RNAseq', 'ZNF672+RNAseq']"
18,"('ZJTKAE3_Control', 'ZMGT937_Prediabetic')","['B3GNTL1+RNAseq', 'C1orf21+RNAseq', 'CASQ1+RNAseq', 'CDKN2B+RNAseq', 'EMG1+RNAseq', 'EVI2B+RNAseq', 'FAM122C+RNAseq', 'FGFR1+RNAseq', 'IL17RC+RNAseq', 'KBTBD12+RNAseq', 'LOC100130705+RNAseq', 'MAMDC2+RNAseq', 'MIR6748+RNAseq', 'NOD2+RNAseq', 'PDE7A+RNAseq', 'PLEKHB1+RNAseq', 'PMAIP1+RNAseq', 'RASSF1+RNAseq', 'SNORA65+RNAseq', 'SPATA32+RNAseq', 'TFIP11+RNAseq', 'TIMM22+RNAseq', 'TNIP2+RNAseq', 'TOM1+RNAseq', 'TOMM34+RNAseq', 'ZC3H4+RNAseq']"
19,"('ZJTKAE3_Control', 'ZN0JE53_Prediabetic')","['K+clinical', 'EGF+cytokine', 'class_Flavobacteria+nares', 'order_Flavobacteriales+nares', 'family_Flavobacteriaceae+nares', 'family_Porphyromonadaceae+nares', 'genus_Porphyromonas+nares', 'genus_Rothia+nares', 'AKR1C6P+RNAseq', 'ANKRD37+RNAseq', 'ARHGAP31+RNAseq', 'ARNTL2-AS1+RNAseq', 'ARPC3+RNAseq', 'ASB15+RNAseq', 'AXL+RNAseq', 'BEND4+RNAseq', 'C9orf156+RNAseq', 'CARD8+RNAseq', 'CCDC152+RNAseq', 'CELF3+RNAseq', 'CTNND2+RNAseq', 'DAAM1+RNAseq', 'DCBLD2+RNAseq', 'DCLRE1C+RNAseq', 'DHRS7B+RNAseq', 'DISP2+RNAseq', 'EIF5A+RNAseq', 'EML5+RNAseq', 'ENAM+RNAseq', 'FIBP+RNAseq', 'FSD2+RNAseq', 'GBP4+RNAseq', 'HIST1H3A+RNAseq', 'HLTF+RNAseq', 'ISG15+RNAseq', 'ISYNA1+RNAseq', 'KPNA1+RNAseq', 'LINC00852+RNAseq', 'LOC100506747+RNAseq', 'LOC101929549+RNAseq', 'LRRC8E+RNAseq', 'LY9+RNAseq', 'MAL+RNAseq', '7-Mar+RNAseq', 'MIF+RNAseq', 'NEFH+RNAseq', 'OARD1+RNAseq', 'OR52D1+RNAseq', 'PARP9+RNAseq', 'PAX8+RNAseq', 'PDXDC1+RNAseq', 'PNMA5+RNAseq', 'PPID+RNAseq', 'PTOV1-AS1+RNAseq', 'RAB21+RNAseq', 'SETD3+RNAseq', 'SFRP4+RNAseq', 'SH3GL1P2+RNAseq', 'SLC35E2+RNAseq', 'SLC46A3+RNAseq', 'SLC5A4+RNAseq', 'SLC7A5P2+RNAseq', 'SLFN14+RNAseq', 'SUMF2+RNAseq', 'TBC1D9+RNAseq', 'TMEM120A+RNAseq', 'TPTE2P5+RNAseq', 'TRIM52-AS1+RNAseq', 'TSFM+RNAseq', 'TTC39A+RNAseq', 'UMODL1+RNAseq', 'USP30+RNAseq', 'VILL+RNAseq', 'VRK2+RNAseq', 'ZNF295-AS1+RNAseq', 'ZRANB2-AS1+RNAseq']"
20,"('ZJTKAE3_Control', 'ZN3TBJM_Prediabetic')","['CA+clinical', 'K+clinical', 'MCH+clinical', 'IL5+cytokine', 'IL12P40+cytokine', 'ADC+RNAseq', 'ANGPTL6+RNAseq', 'ANKRD36BP1+RNAseq', 'APOL1+RNAseq', 'ASB9P1+RNAseq', 'BCAR3+RNAseq', 'BUD31+RNAseq', 'C10orf131+RNAseq', 'C1orf85+RNAseq', 'C2CD3+RNAseq', 'C3orf58+RNAseq', 'CBFB+RNAseq', 'CHAD+RNAseq', 'CNTN4+RNAseq', 'DENND4A+RNAseq', 'EIF2AK4+RNAseq', 'EIF6+RNAseq', 'FAM86A+RNAseq', 'FAM86FP+RNAseq', 'FANCC+RNAseq', 'FRAT2+RNAseq', 'GPD1+RNAseq', 'GSTT1+RNAseq', 'HTATSF1P2+RNAseq', 'INE2+RNAseq', 'ISYNA1+RNAseq', 'KIF22+RNAseq', 'LOC100506551+RNAseq', 'LOC101928100+RNAseq', 'LOC101928517+RNAseq', 'METTL12+RNAseq', 'NELFA+RNAseq', 'NFKBIE+RNAseq', 'NOP9+RNAseq', 'NPTN+RNAseq', 'NTN3+RNAseq', 'P2RX2+RNAseq', 'PKDREJ+RNAseq', 'PM20D1+RNAseq', 'PNMAL2+RNAseq', 'POMZP3+RNAseq', 'PRKACA+RNAseq', 'RAB11A+RNAseq', 'RASGRP4+RNAseq', 'RPL31P11+RNAseq', 'SCRG1+RNAseq', 'SERP1+RNAseq', 'SLC12A4+RNAseq', 'SSC5D+RNAseq', 'TDRD6+RNAseq', 'TMEM120B+RNAseq', 'TMEM75+RNAseq', 'TNIP2+RNAseq', 'TOM1L2+RNAseq', 'TOP1MT+RNAseq', 'TTC1+RNAseq', 'UBE2L6+RNAseq', 'UBXN1+RNAseq', 'VSIG8+RNAseq', 'WHAMM+RNAseq', 'ZNF446+RNAseq']"
21,"('ZJTKAE3_Control', 'ZN9YTFN_Prediabetic')","['class_Flavobacteria+nares', 'order_Flavobacteriales+nares', 'family_Flavobacteriaceae+nares', 'genus_Rothia+nares', 'ATXN2L+RNAseq', 'BAD+RNAseq', 'C10orf25+RNAseq', 'C11orf48+RNAseq', 'C14orf164+RNAseq', 'C19orf83+RNAseq', 'C2CD2L+RNAseq', 'CNOT6L+RNAseq', 'FBXO5+RNAseq', 'GLO1+RNAseq', 'GPR98+RNAseq', 'HBP1+RNAseq', 'HMCN2+RNAseq', 'KIAA1430+RNAseq', 'LINC00167+RNAseq', 'LOC100130093+RNAseq', 'LOC100287098+RNAseq', 'LOC101927497+RNAseq', 'LYSMD1+RNAseq', 'MIS18BP1+RNAseq', 'MTMR1+RNAseq', 'NANOS1+RNAseq', 'NBPF1+RNAseq', 'PCCA+RNAseq', 'PEX26+RNAseq', 'PPP6R2+RNAseq', 'PREX1+RNAseq', 'PYGO2+RNAseq', 'RAVER2+RNAseq', 'SDR39U1+RNAseq', 'SLIT3+RNAseq', 'SYT11+RNAseq', 'TMEM217+RNAseq', 'UCP3+RNAseq', 'VCL+RNAseq', 'VIPR1+RNAseq', 'WTAP+RNAseq', 'ZACN+RNAseq']"
22,"('ZJTKAE3_Control', 'ZNDMXI3_Prediabetic')","['RANTES+cytokine', 'PDGFBB+cytokine', 'genus_Porphyromonas+nares', 'ARHGEF4+RNAseq', 'C15orf61+RNAseq', 'C17orf53+RNAseq', 'CDK16+RNAseq', 'CRELD2+RNAseq', 'CSNK1A1+RNAseq', 'CUL1+RNAseq', 'CYP2D7P+RNAseq', 'DUOXA1+RNAseq', 'GPATCH1+RNAseq', 'KCTD21-AS1+RNAseq', 'LOC285593+RNAseq', 'LSM14B+RNAseq', 'MIER3+RNAseq', 'MIR215+RNAseq', 'MRVI1+RNAseq', 'NEURL1+RNAseq', 'NTSR1+RNAseq', 'PLEKHA2+RNAseq', 'PMS2P1+RNAseq', 'QRFP+RNAseq', 'RPPH1+RNAseq', 'SH3BGRL+RNAseq', 'SMAD4+RNAseq', 'SPATS2L+RNAseq', 'TDRP+RNAseq', 'TMEM50B+RNAseq', 'UFM1+RNAseq', 'ZNF32-AS1+RNAseq', 'ZNF687+RNAseq']"
23,"('ZJTKAE3_Control', 'ZNED4XZ_Crossover')","['IL1RA+cytokine', 'genus_Coprococcus+gut', 'AGO4+RNAseq', 'BRD3+RNAseq', 'CD69+RNAseq', 'CDC123+RNAseq', 'CENPK+RNAseq', 'EXTL3+RNAseq', 'FDXR+RNAseq', 'FGFR1OP2+RNAseq', 'KIF20A+RNAseq', 'LOC100287098+RNAseq', 'MCUR1+RNAseq', 'MID1IP1+RNAseq', 'NFAM1+RNAseq', 'PELP1+RNAseq', 'PPIF+RNAseq', 'RNF20+RNAseq', 'RPL13+RNAseq', 'RSL1D1+RNAseq', 'SAV1+RNAseq', 'SPG20+RNAseq']"
24,"('ZJTKAE3_Control', 'ZNQOVZV_Prediabetic')","['K+clinical', 'NA.+clinical', 'genus_unclassified_Erysipelotrichaceae+gut', 'AANAT+RNAseq', 'ACPP+RNAseq', 'ACTR1A+RNAseq', 'ADH1A+RNAseq', 'AFF4+RNAseq', 'AK5+RNAseq', 'ARFGAP3+RNAseq', 'ARHGEF5+RNAseq', 'ARL6IP1+RNAseq', 'ARPC5+RNAseq', 'ASXL1+RNAseq', 'ATP11AUN+RNAseq', 'ATP2C2+RNAseq', 'BAZ1A+RNAseq', 'BIK+RNAseq', 'BIN2+RNAseq', 'C12orf65+RNAseq', 'C15orf57+RNAseq', 'C16orf86+RNAseq', 'C17orf70+RNAseq', 'C1orf146+RNAseq', 'C1orf35+RNAseq', 'CACTIN+RNAseq', 'CALR+RNAseq', 'CCDC85B+RNAseq', 'CCPG1+RNAseq', 'CD3D+RNAseq', 'CHD8+RNAseq', 'CLIC3+RNAseq', 'CLMN+RNAseq', 'CLUH+RNAseq', 'COQ4+RNAseq', 'COX11+RNAseq', 'CTIF+RNAseq', 'CUL1+RNAseq', 'CYBB+RNAseq', 'DAPK1+RNAseq', 'DAZAP1+RNAseq', 'DDX41+RNAseq', 'DGKD+RNAseq', 'DNAAF2+RNAseq', 'EIF3H+RNAseq', 'EIF3M+RNAseq', 'EMP3+RNAseq', 'EXOSC3+RNAseq', 'EXOSC4+RNAseq', 'FAM134A+RNAseq', 'FAM159B+RNAseq', 'FBXW5+RNAseq', 'FCHSD1+RNAseq', 'FUT4+RNAseq', 'FZD6+RNAseq', 'GALE+RNAseq', 'GLE1+RNAseq', 'GRHPR+RNAseq', 'GRK4+RNAseq', 'GSN+RNAseq', 'GTF2F1+RNAseq', 'HIGD1B+RNAseq', 'HIRIP3+RNAseq', 'HIVEP3+RNAseq', 'HMGN2P46+RNAseq', 'IDH2+RNAseq', 'IER5L+RNAseq', 'IFI35+RNAseq', 'IFIT1B+RNAseq', 'IGSF10+RNAseq', 'IRF5+RNAseq', 'IST1+RNAseq', 'ITFG2+RNAseq', 'KANSL3+RNAseq', 'KDM4A+RNAseq', 'KGFLP2+RNAseq', 'KIF1B+RNAseq', 'KLHL11+RNAseq', 'LGALS3+RNAseq', 'LINC00211+RNAseq', 'LOC100506713+RNAseq', 'LOC101928847+RNAseq', 'LOC374443+RNAseq', 'LPGAT1+RNAseq', 'LRMP+RNAseq', 'MACROD2+RNAseq', 'MAEA+RNAseq', 'MAML3+RNAseq', 'MAP3K6+RNAseq', 'MAP4K4+RNAseq', 'MAPK13+RNAseq', 'MAVS+RNAseq', 'MEPCE+RNAseq', 'MRPL49+RNAseq', 'MSC+RNAseq', 'MTF1+RNAseq', 'MVD+RNAseq', 'NEUROD2+RNAseq', 'NME3+RNAseq', 'NRSN2+RNAseq', 'NUDT16P1+RNAseq', 'PATL2+RNAseq', 'PDCD1+RNAseq', 'PDLIM2+RNAseq', 'PDS5B+RNAseq', 'PELO+RNAseq', 'PFKP+RNAseq', 'PGAM5+RNAseq', 'PHF20L1+RNAseq', 'PIGO+RNAseq', 'PLIN2+RNAseq', 'PMAIP1+RNAseq', 'PMPCA+RNAseq', 'PNKP+RNAseq', 'PPM1G+RNAseq', 'PREPL+RNAseq', 'PRRC2B+RNAseq', 'R3HDM1+RNAseq', 'RASA3+RNAseq', 'RECQL+RNAseq', 'RNH1+RNAseq', 'RPS24+RNAseq', 'RQCD1+RNAseq', 'SARNP+RNAseq', 'SATB1+RNAseq', 'SECTM1+RNAseq', 'SGMS1+RNAseq', 'SIN3B+RNAseq', 'SLC12A1+RNAseq', 'SLC25A1+RNAseq', 'SLC35F4+RNAseq', 'SMTN+RNAseq', 'SRPR+RNAseq', 'STAP1+RNAseq', 'STK40+RNAseq', 'SULT2B1+RNAseq', 'TBC1D22A+RNAseq', 'TDRD3+RNAseq', 'THEM4+RNAseq', 'THEMIS2+RNAseq', 'TIMP2+RNAseq', 'TMF1+RNAseq', 'TRAF1+RNAseq', 'TREX1+RNAseq', 'UBAP2+RNAseq', 'UBE3C+RNAseq', 'UBXN6+RNAseq', 'UNC80+RNAseq', 'USP10+RNAseq', 'USP30+RNAseq', 'USP5+RNAseq', 'VAV3+RNAseq', 'VPS29+RNAseq', 'VWA2+RNAseq', 'WDR34+RNAseq', 'YY1AP1+RNAseq', 'ZBTB14+RNAseq', 'ZNF460+RNAseq', 'ZNF630-AS1+RNAseq', 'ZNF783+RNAseq', 'ZNF79+RNAseq', 'ZNF793+RNAseq']"
25,"('ZJTKAE3_Control', 'ZO5QFNX_Prediabetic')","['genus_Lachnospiracea_incertae_sedis+gut', 'genus_unclassified_Porphyromonadaceae+gut', 'ANXA4+RNAseq', 'ARMC5+RNAseq', 'BANF1+RNAseq', 'C1orf145+RNAseq', 'C21orf2+RNAseq', 'C2orf47+RNAseq', 'CCNI2+RNAseq', 'DNMT3L+RNAseq', 'FOXH1+RNAseq', 'GPR137C+RNAseq', 'HIAT1+RNAseq', 'IKBKE+RNAseq', 'IL20RA+RNAseq', 'KCTD21-AS1+RNAseq', 'LOC100129931+RNAseq', 'LOC101243545+RNAseq', 'LOC441242+RNAseq', 'MAP7D1+RNAseq', 'PDLIM1+RNAseq', 'RASSF4+RNAseq', 'RBM12B-AS1+RNAseq', 'RPL34+RNAseq', 'SCUBE3+RNAseq', 'SUV420H1+RNAseq', 'TLCD1+RNAseq', 'VASH1+RNAseq', 'VRK2+RNAseq', 'ZNF710+RNAseq', 'ZSWIM1+RNAseq']"
26,"('ZJTKAE3_Control', 'ZO94RDZ_Prediabetic')","['family_Veillonellaceae+gut', 'AFAP1+RNAseq', 'ARID1B+RNAseq', 'ATP11A+RNAseq', 'BCOR+RNAseq', 'BOLA3-AS1+RNAseq', 'C11orf57+RNAseq', 'C3orf58+RNAseq', 'CCND3+RNAseq', 'CD86+RNAseq', 'CDC20+RNAseq', 'DCAF12+RNAseq', 'DKFZP434H168+RNAseq', 'DOCK2+RNAseq', 'DRAP1+RNAseq', 'ERN1+RNAseq', 'ESYT2+RNAseq', 'FAM118A+RNAseq', 'GNAQ+RNAseq', 'GSN-AS1+RNAseq', 'HSPBAP1+RNAseq', 'LIPN+RNAseq', 'LOC100507564+RNAseq', 'LOC100996351+RNAseq', 'MBLAC1+RNAseq', 'MED4-AS1+RNAseq', 'MOB3A+RNAseq', 'NDUFB10+RNAseq', 'PDAP1+RNAseq', 'POM121L10P+RNAseq', 'PRICKLE4+RNAseq', 'RPL26+RNAseq', 'RREB1+RNAseq', 'RUFY4+RNAseq', 'SEC24C+RNAseq', 'SLC25A44+RNAseq', 'SLC6A20+RNAseq', 'TBX1+RNAseq', 'TIMP3+RNAseq', 'TMCO6+RNAseq', 'TP73+RNAseq', 'TRMT61A+RNAseq', 'TXLNB+RNAseq', 'UBR1+RNAseq', 'WDR55+RNAseq', 'ZNF529+RNAseq', 'ZNF689+RNAseq']"
27,"('ZJTKAE3_Control', 'ZOBX723_Prediabetic')","['CA+clinical', 'CO2+clinical', 'K+clinical', 'ALPK2+RNAseq', 'ANKFY1+RNAseq', 'ARAF+RNAseq', 'ARHGAP1+RNAseq', 'ARHGAP31+RNAseq', 'ATP5SL+RNAseq', 'CALD1+RNAseq', 'CD55+RNAseq', 'COPA+RNAseq', 'CPEB4+RNAseq', 'CSAD+RNAseq', 'DDX11L2+RNAseq', 'DDX55+RNAseq', 'DEAF1+RNAseq', 'DNAH14+RNAseq', 'DNAJB5+RNAseq', 'DUSP18+RNAseq', 'EDC3+RNAseq', 'EPB41L5+RNAseq', 'FAM150B+RNAseq', 'FAM161B+RNAseq', 'FHL2+RNAseq', 'HDAC7+RNAseq', 'IFIT3+RNAseq', 'IFT46+RNAseq', 'KCNH1+RNAseq', 'KDF1+RNAseq', 'KIAA1324+RNAseq', 'LIMD1-AS1+RNAseq', 'LINC01107+RNAseq', 'LIPN+RNAseq', 'LOC100128164+RNAseq', 'LOC100289019+RNAseq', 'LOC100506314+RNAseq', 'LOC102723385+RNAseq', 'LRRC8B+RNAseq', 'MAP1S+RNAseq', 'MBD6+RNAseq', 'MYO7B+RNAseq', 'NACA+RNAseq', 'NEFH+RNAseq', 'NOP56+RNAseq', 'NR3C2+RNAseq', 'ORC2+RNAseq', 'OSCP1+RNAseq', 'PALLD+RNAseq', 'PCNXL4+RNAseq', 'PEX6+RNAseq', 'PGGT1B+RNAseq', 'PGP+RNAseq', 'PIEZO1+RNAseq', 'PIP4K2B+RNAseq', 'PLCG1+RNAseq', 'PODNL1+RNAseq', 'POMT1+RNAseq', 'PPP1R27+RNAseq', 'PRKCSH+RNAseq', 'RAB5A+RNAseq', 'RABGGTA+RNAseq', 'RANBP3+RNAseq', 'RAPH1+RNAseq', 'RBP1+RNAseq', 'RFX1+RNAseq', 'RPS6KL1+RNAseq', 'RRP12+RNAseq', 'RYR3+RNAseq', 'SCN8A+RNAseq', 'SEPN1+RNAseq', '8-Sep+RNAseq', 'SEZ6+RNAseq', 'SMAD3+RNAseq', 'SMPD1+RNAseq', 'SYNE3+RNAseq', 'TDP1+RNAseq', 'THTPA+RNAseq', 'TNC+RNAseq', 'TPGS2+RNAseq', 'TUBB6+RNAseq', 'TULP2+RNAseq', 'U2AF2+RNAseq', 'UNK+RNAseq', 'USP30+RNAseq', 'VPS13B+RNAseq', 'VPS36+RNAseq', 'WARS2+RNAseq', 'WDR13+RNAseq', 'WHSC1+RNAseq', 'ZBTB8A+RNAseq', 'ZSCAN32+RNAseq']"
